source,target,weight
accepted,accepted,0
accepted,achieve,0
accepted,act,0
accepted,administration,0
accepted,administrators,0
accepted,allen,0
accepted,also,0
accepted,ambiguous,0
accepted,among,1
accepted,appointment,0
accepted,appraisers,0
accepted,assistance,0
accepted,atlanta,1
accepted,atlantas,0
accepted,automobile,0
accepted,available,0
accepted,awarding,0
accepted,believes,0
accepted,best,1
accepted,burden,0
accepted,charge,0
accepted,charged,0
accepted,child,0
accepted,city,0
accepted,clerical,0
accepted,combined,0
accepted,commented,1
accepted,committee,0
accepted,compensation,0
accepted,conducted,0
accepted,considering,0
accepted,continue,0
accepted,cost,0
accepted,counties,0
accepted,county,1
accepted,court,0
accepted,date,0
accepted,department,0
accepted,departments,1
accepted,deserves,0
accepted,disable,0
accepted,disproportionate,0
accepted,distribute,0
accepted,distribution,0
accepted,durwood,0
accepted,effected,0
accepted,effective,0
accepted,efficiency,0
accepted,election,0
accepted,enabling,0
accepted,end,0
accepted,evidence,0
accepted,exception,0
accepted,executive,0
accepted,experienced,0
accepted,failure,0
accepted,federal,0
accepted,feel,0
accepted,fees,0
accepted,find,0
accepted,fire,0
accepted,fit,0
accepted,follow,1
accepted,foster,0
accepted,friday,0
accepted,fulton,1
accepted,funds,0
accepted,future,0
accepted,general,0
accepted,generally,1
accepted,georgias,0
accepted,governments,1
accepted,grand,1
accepted,granted,0
accepted,greater,0
accepted,guardians,0
accepted,handful,0
accepted,handling,0
accepted,hardfought,0
accepted,homes,0
accepted,however,0
accepted,implementation,0
accepted,improving,0
accepted,inadequate,0
accepted,interest,1
accepted,inure,1
accepted,investigate,0
accepted,investigation,0
accepted,irregularities,0
accepted,items,0
accepted,ivan,0
accepted,judge,0
accepted,jurors,0
accepted,jury,1
accepted,lacking,0
accepted,law,0
accepted,laws,0
accepted,legislators,0
accepted,legislature,0
accepted,less,0
accepted,major,0
accepted,manner,0
accepted,many,0
accepted,may,0
accepted,mayornominate,0
accepted,merger,0
accepted,might,0
accepted,modernizing,0
accepted,money,0
accepted,nevertheless,0
accepted,next,0
accepted,none,0
accepted,number,1
accepted,offices,0
accepted,often,0
accepted,one,0
accepted,operated,1
accepted,orderly,0
accepted,ordinarys,0
accepted,outgoing,0
accepted,outmoded,0
accepted,overall,0
accepted,personnel,0
accepted,place,0
accepted,policies,0
accepted,populous,0
accepted,portion,0
accepted,possible,0
accepted,practices,1
accepted,praise,0
accepted,presentments,0
accepted,primary,0
accepted,problem,0
accepted,produced,0
accepted,program,0
accepted,proportionate,0
accepted,proposed,0
accepted,protected,0
accepted,provide,0
accepted,purchasing,1
accepted,pye,0
accepted,realize,0
accepted,receive,0
accepted,received,0
accepted,receives,0
accepted,recent,0
accepted,recommended,0
accepted,reduce,0
accepted,registration,0
accepted,relative,0
accepted,remedy,0
accepted,reports,0
accepted,reset,0
accepted,result,0
accepted,revised,0
accepted,said,1
accepted,seen,0
accepted,septemberoctober,0
accepted,services,0
accepted,size,0
accepted,state,0
accepted,steps,0
accepted,studied,0
accepted,superior,0
accepted,swipe,0
accepted,take,0
accepted,taxpayers,0
accepted,term,0
accepted,termend,0
accepted,thanks,0
accepted,title,0
accepted,took,0
accepted,topics,1
accepted,two,0
accepted,urged,0
accepted,voters,0
accepted,wards,0
accepted,welfare,0
accepted,well,1
accepted,widespread,0
achieve,accepted,0
achieve,achieve,0
achieve,act,0
achieve,administration,1
achieve,administrators,0
achieve,allen,0
achieve,also,0
achieve,ambiguous,0
achieve,among,0
achieve,appointment,0
achieve,appraisers,0
achieve,assistance,0
achieve,atlanta,0
achieve,atlantas,0
achieve,automobile,0
achieve,available,0
achieve,awarding,0
achieve,believes,1
achieve,best,0
achieve,burden,0
achieve,charge,0
achieve,charged,0
achieve,child,0
achieve,city,0
achieve,clerical,0
achieve,combined,1
achieve,commented,0
achieve,committee,0
